,feature_1,feature_2,correlation
0,mean_concave_points,worst_concave_points,0.9101553142985918
1,mean_texture,worst_texture,0.912044588840421
2,mean_concavity,mean_concave_points,0.9213910263788588
3,perimeter_error,area_error,0.9376554069544157
4,mean_radius,worst_area,0.9410824595860461
5,mean_perimeter,worst_area,0.9415498080023068
6,radius_error,area_error,0.951830112110991
7,mean_area,worst_perimeter,0.9591195743552645
8,mean_area,worst_area,0.9592133256498998
9,mean_area,worst_radius,0.9627460860470841
10,mean_radius,worst_perimeter,0.9651365139559871
11,mean_perimeter,worst_radius,0.9694763634663146
12,mean_radius,worst_radius,0.9695389726112055
13,mean_perimeter,worst_perimeter,0.9703868870426394
14,radius_error,perimeter_error,0.9727936770160764
15,worst_perimeter,worst_area,0.9775780914063871
16,worst_radius,worst_area,0.9840145644590742
17,mean_perimeter,mean_area,0.9865068039913907
18,mean_radius,mean_area,0.9873571700566127
19,worst_radius,worst_perimeter,0.993707916102949
20,mean_radius,mean_perimeter,0.9978552814938109
